::1 - - [02/Jan/2023:19:12:05 +0100] "GET /wp-includes/js/dist/deprecated.min.js?ver=6c963cb9494ba26b77eb HTTP/1.1" 200 812
::1 - - [02/Jan/2023:19:12:05 +0100] "GET /wp-admin/js/dashboard.min.js?ver=6.1.1 HTTP/1.1" 200 8797
::1 - - [02/Jan/2023:19:12:05 +0100] "GET /wp-includes/js/dist/date.min.js?ver=ce7daf24092d87ff18be HTTP/1.1" 200 847374
::1 - - [02/Jan/2023:19:12:04 +0100] "GET /wp-admin/ HTTP/1.1" 200 372021
::1 - - [02/Jan/2023:19:12:05 +0100] "GET /wp-includes/js/wp-emoji-release.min.js?ver=6.1.1 HTTP/1.1" 200 18617
::1 - - [02/Jan/2023:19:12:05 +0100] "GET /wp-includes/js/thickbox/thickbox.js?ver=3.1-20121105 HTTP/1.1" 200 13242
::1 - - [02/Jan/2023:19:12:05 +0100] "GET /wp-includes/js/wp-sanitize.min.js?ver=6.1.1 HTTP/1.1" 200 458
::1 - - [02/Jan/2023:19:12:05 +0100] "GET /wp-admin/js/plugin-install.min.js?ver=6.1.1 HTTP/1.1" 200 2403
::1 - - [02/Jan/2023:19:12:05 +0100] "GET /wp-admin/js/media-upload.min.js?ver=6.1.1 HTTP/1.1" 200 1152
::1 - - [02/Jan/2023:19:12:05 +0100] "GET /wp-includes/js/shortcode.min.js?ver=6.1.1 HTTP/1.1" 200 2643
::1 - - [02/Jan/2023:19:12:05 +0100] "GET /wp-admin/js/updates.min.js?ver=6.1.1 HTTP/1.1" 200 41339
::1 - - [02/Jan/2023:19:12:05 +0100] "GET /wp-admin/js/svg-painter.js?ver=6.1.1 HTTP/1.1" 200 5522
::1 - - [02/Jan/2023:19:12:05 +0100] "GET /wp-includes/js/wp-auth-check.min.js?ver=6.1.1 HTTP/1.1" 200 1658
::1 - - [02/Jan/2023:19:12:05 +0100] "GET /wp-includes/js/wplink.min.js?ver=6.1.1 HTTP/1.1" 200 11254
::1 - - [02/Jan/2023:19:12:05 +0100] "GET /wp-includes/js/jquery/ui/menu.min.js?ver=1.13.2 HTTP/1.1" 200 10114
::1 - - [02/Jan/2023:19:12:05 +0100] "GET /wp-includes/js/heartbeat.min.js?ver=6.1.1 HTTP/1.1" 200 5932
::1 - - [02/Jan/2023:19:12:05 +0100] "GET /wp-includes/js/jquery/ui/autocomplete.min.js?ver=1.13.2 HTTP/1.1" 200 8466
::1 - - [02/Jan/2023:19:12:05 +0100] "GET /wp-admin/admin-ajax.php?action=dashboard-widgets&widget=dashboard_primary&pagenow=dashboard HTTP/1.1" 200 958
::1 - - [02/Jan/2023:19:12:28 +0100] "GET /wp-admin/themes.php HTTP/1.1" 200 303956
::1 - - [02/Jan/2023:19:12:28 +0100] "GET /wp-includes/js/backbone.min.js?ver=1.4.1 HTTP/1.1" 200 23848
::1 - - [02/Jan/2023:19:12:28 +0100] "GET /wp-includes/js/wp-backbone.min.js?ver=6.1.1 HTTP/1.1" 200 3039
::1 - - [02/Jan/2023:19:12:28 +0100] "GET /wp-includes/js/customize-base.min.js?ver=6.1.1 HTTP/1.1" 200 7852
::1 - - [02/Jan/2023:19:12:28 +0100] "GET /wp-admin/js/theme.min.js?ver=6.1.1 HTTP/1.1" 200 27055
::1 - - [02/Jan/2023:19:12:28 +0100] "GET /wp-includes/js/thickbox/loadingAnimation.gif HTTP/1.1" 200 15238
::1 - - [02/Jan/2023:19:12:30 +0100] "GET /wp-admin/theme-install.php HTTP/1.1" 200 299934
::1 - - [02/Jan/2023:19:12:31 +0100] "GET /wp-content/plugins/query-monitor/assets/query-monitor.css?ver=1672682869 HTTP/1.1" 304 -
::1 - - [02/Jan/2023:19:12:31 +0100] "GET /wp-content/plugins/query-monitor/assets/query-monitor.js?ver=1672682869 HTTP/1.1" 304 -
::1 - - [02/Jan/2023:19:12:31 +0100] "GET /wp-admin/images/spinner-2x.gif HTTP/1.1" 200 7536
::1 - - [02/Jan/2023:19:12:31 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 229176
::1 - - [02/Jan/2023:19:12:36 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 52252
::1 - - [02/Jan/2023:19:12:37 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 45324
::1 - - [02/Jan/2023:19:12:51 +0100] "GET /wp-admin/images/arrows-2x.png HTTP/1.1" 200 863
::1 - - [02/Jan/2023:19:13:05 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 359
::1 - - [02/Jan/2023:19:13:32 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 47
::1 - - [02/Jan/2023:19:15:29 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 47
::1 - - [02/Jan/2023:19:15:32 +0100] "GET /wp-admin/themes.php?action=activate&_wpnonce=a133ab4673&stylesheet=blank-canvas HTTP/1.1" 302 -
::1 - - [02/Jan/2023:19:15:33 +0100] "GET /wp-admin/themes.php?activated=true HTTP/1.1" 200 337263
::1 - - [02/Jan/2023:19:15:34 +0100] "GET /wp-content/plugins/query-monitor/assets/query-monitor.css?ver=1672682869 HTTP/1.1" 304 -
::1 - - [02/Jan/2023:19:15:34 +0100] "GET /wp-content/plugins/query-monitor/assets/query-monitor.js?ver=1672682869 HTTP/1.1" 304 -
::1 - - [02/Jan/2023:19:15:34 +0100] "GET /wp-content/themes/blank-canvas/screenshot.png?ver=1.2.9 HTTP/1.1" 200 15156
::1 - - [02/Jan/2023:19:15:34 +0100] "GET /wp-content/themes/seedlet/screenshot.png?ver=1.1.13 HTTP/1.1" 200 79931
::1 - - [02/Jan/2023:19:15:34 +0100] "GET /wp-content/themes/twentytwentythree/screenshot.png?ver=1.0 HTTP/1.1" 200 95166
